energy,liveness,tempo,speechiness,acousticness,instrumentalness,time_signature,danceability,key,duration_ms,loudness,valence,mode,type,uri
0.433,0.185,90.117,0.0311,0.11,0.0,4,0.464,2,236053,-6.627,0.12,1,audio_features,spotify:track:64WaZQ8xhkNHtkunRzpKNf
0.778,0.082,125.0,0.0784,0.00851,0.0,4,0.726,4,198840,-2.483,0.868,1,audio_features,spotify:track:03oZejWqXLbKhhM4iTgShq
0.933,0.0863,120.572,0.14,0.0734,0.0,4,0.678,2,214720,-4.959,0.336,1,audio_features,spotify:track:6AzCBeiDuUXGXjznBufswB
0.668,0.0681,149.924,0.0474,0.231,0.0,4,0.425,9,256707,-7.542,0.351,1,audio_features,spotify:track:4lrC9aBnzlG9U5DDoHMnyt
0.889,0.328,126.916,0.039,0.0883,0.0,4,0.68,7,204973,-4.335,0.626,1,audio_features,spotify:track:3Fld33fuWTUUmVx9BEkyDx
0.722,0.35,95.012,0.0358,0.0243,4.2e-05,4,0.683,8,207187,-4.039,0.854,0,audio_features,spotify:track:2W5acFzXf5FrktecuD30Or
0.532,0.217,85.03,0.0323,0.186,0.000263,4,0.548,5,272394,-7.596,0.405,1,audio_features,spotify:track:5FVd6KXrgO9B3JPmC8OPst
0.822,0.139,97.003,0.0434,0.0164,0.000296,4,0.626,6,276907,-5.501,0.374,1,audio_features,spotify:track:6uJwPeBGb3swi85TSr9iIz
0.916,0.0296,142.984,0.0839,0.0278,0.0,4,0.558,1,199720,-3.145,0.85,0,audio_features,spotify:track:4JaLkM90MJutDAl5jD9BZX
0.781,0.11,157.971,0.0388,0.286,0.0,4,0.534,1,209720,-5.437,0.677,1,audio_features,spotify:track:3V3zCg3kqfeag16CRxyOOs
0.658,0.0939,99.99,0.0304,0.0215,1.66e-06,4,0.653,2,221507,-6.428,0.219,1,audio_features,spotify:track:72jbDTw1piOOj770jWNeaG
0.404,0.0911,95.045,0.0682,0.216,0.000357,4,0.75,9,232253,-10.178,0.0499,0,audio_features,spotify:track:6NFyWDv5CjfwuzoCkw47Xf
0.768,0.114,77.217,0.0347,0.00433,0.0,4,0.536,10,228133,-5.948,0.545,0,audio_features,spotify:track:2Bs4jQEGMycglOfWPBqrVG
0.938,0.0961,168.131,0.102,0.032,0.0321,4,0.324,6,178440,-7.332,0.543,0,audio_features,spotify:track:0Puj4YlTm6xNzDDADXHMI9
0.544,0.104,133.042,0.0277,0.0631,5.33e-06,3,0.452,4,191947,-5.423,0.158,1,audio_features,spotify:track:5vyxXfD5gLlyPxGZMEjtmd
0.851,0.238,78.068,0.065,0.0964,0.003,4,0.365,4,170067,-6.238,0.309,0,audio_features,spotify:track:1lgN0A2Vki2FTON5PYq42m
0.826,0.0803,124.072,0.0479,0.139,0.0,4,0.638,8,227880,-4.968,0.649,1,audio_features,spotify:track:4lCv7b86sLynZbXhfScfm2
0.896,0.091,124.978,0.0437,0.0773,8.87e-05,4,0.602,1,220827,-4.267,0.641,0,audio_features,spotify:track:1RvQQGwaPipiNgz8RXAKA8
0.587,0.137,186.003,0.276,0.141,6.35e-06,4,0.679,7,230453,-7.015,0.486,1,audio_features,spotify:track:7MXVkk9YMctZqd1Srtv4MB
0.819,0.0679,92.99,0.118,0.426,0.0,4,0.773,0,269187,-5.946,0.585,0,audio_features,spotify:track:5GXAXm5YOmYT0kL5jHvYBt
0.609,0.0344,114.988,0.0824,0.00801,8.15e-05,4,0.856,0,269667,-7.223,0.928,1,audio_features,spotify:track:32OlwWuMpZ6b0aN2RZOeMS
0.731,0.282,99.981,0.0281,0.0475,0.0,4,0.56,2,244824,-6.121,0.401,1,audio_features,spotify:track:0c2yZp1tTYAUiKraMdS8Yg
0.846,0.145,129.998,0.0573,0.00537,6.62e-06,4,0.58,9,240000,-2.876,0.366,0,audio_features,spotify:track:1JDIArrcepzWDTAWXdGYmP
0.833,0.074,128.003,0.0282,0.0079,1.48e-05,4,0.628,11,218293,-4.126,0.56,0,audio_features,spotify:track:2ISSQPb9LHHiV6ng2NXosL
0.712,0.128,124.013,0.0286,0.00184,0.0,4,0.593,2,231307,-6.325,0.473,0,audio_features,spotify:track:7nAfXgeHfDO50upcOjJOaq
